,标题,标题_链接,作者,highwirecitemetadatadoi,abstact,Abstract_num,Full_num,Pdf_num,page
0,Functional connectivity changes with rapid remission from moderate-to-severe major depressive disorder,https://www.biorxiv.org/content/10.1101/672154v4,"Xiaoqian Xiao, Brandon S. Bentzley, Eleanor J. Cole, Claudia Tischler, Katy H. Stimpson, Dalton Duvio, James H. Bishop, Danielle D. DeSouza, Alan Schatzberg, Corey Keller, Keith D. Sudheimer, Nolan R. Williams",doi: https://doi.org/10.1101/672154 ,"Major depressive disorder (MDD) is prevalent and debilitating, and development of improved treatments is limited by insufficient understanding of the neurological changes associated with disease remission. In turn, efforts to elucidate these changes have been challenging due to disease heterogeneity as well as limited effectiveness, delayed onset, and significant off-target effects of treatments. We developed a form of repetitive transcranial magnetic stimulation of the left dorsolateral prefrontal cortex (lDLPFC) that in an open-label study was associated with remission from MDD in 90% of individuals in 1-5 days (Stanford Accelerated Intelligent Neuromodulation Therapy, SAINT). This provides a tool to begin exploring the functional connectivity (FC) changes associated with MDD remission. Resting-state fMRI scans were performed before and after SAINT in 18 participants with moderate-to-severe, treatment-resistant MDD. FC was determined between regions of interest defined a priori by well-described roles in emotion regulation. Following SAINT, FC was significantly decreased between subgenual cingulate cortex (sgACC) and 3 of 4 default mode network (DMN) nodes. Significant reductions in FC were also observed between the following: DLPFC-striatum, DLPFC-amygdala, DMN-amygdala, DMN-striatum, and amygdala-striatum. Greater clinical improvements were correlated with larger decreases in FC between DLPFC-amygdala and DLPFC-insula, as well as smaller decreases in FC between sgACC-DMN. Greater clinical improvements were correlated with lower baseline FC between DMN-DLPFC, DMN-striatum, and DMN-ventrolateral prefrontal cortex. The multiple, significant reductions in FC we observed following SAINT and remission from depression support the hypothesis that MDD is a state of hyper-connectivity within these networks, and rapid decoupling of network nodes may lead to rapid remission from depression.Significance statement Major depressive disorder is common and debilitating. It has been difficult to study the brain changes associated with recovery from depression, because treatments take weeks-to-months to become effective, and symptoms fail to resolve in many people. We recently developed a type of magnetic brain stimulation called SAINT. SAINT leads to full remission from depression in 90% of people within 5 days. We used SAINT and functional magnetic resonance imaging to determine how the brain changes with rapid remission from depression. We found changes in areas of the brain associated with emotion regulation. This provides a significantly clearer picture of how the non-depressed brain differs from the depressed brain, which can be used to develop rapid and effective treatments for depression.",15464,1318,2309,35
1,Identifying Severe Stroke Patients Likely to Benefit From Thrombectomy Despite Delays of up to a Day,https://www.biorxiv.org/content/10.1101/526947v2,"R. Gilberto González, Gisele Sampaio Silva, Julian He, Saloomeh Sadaghiani, Ona Wu, Aneesh B. Singhal",doi: https://doi.org/10.1101/526947 ,"Selected patients with large vessel occlusions (LVO) can benefit from thrombectomy up to 24 hours after onset. Identifying patients who might benefit from late intervention after transfer from community hospitals to thrombectomy-capable centers would be valuable. We searched for presentation biomarkers to identify such patients. Frequent MR imaging over 2 days of 38 untreated LVO patients revealed logarithmic growth of the ischemic infarct core. In 24 patients with terminal internal carotid artery or the proximal middle cerebral artery occlusions we found that an infarct core growth rate (IGR) &lt;4.1 ml/hr and initial infarct core volumes (ICV) &lt;19.9 ml had accuracies &gt;89% for identifying patients who would still have a core of &lt;50ml 24 hours after stroke onset, a core size that should predict favorable outcomes with thrombectomy. Published reports indicate that up to half of all LVO stroke patients have an IGR&lt;4.1 ml/hr. Other potentially useful biomarkers include the NIHSS and the perfusion measurements MTT and Tmax. We conclude that many LVO patients have a stroke physiology that is favorable for late intervention, and that there are biomarkers that can accurately identify them at early time points as suitable for transfer for intervention.",11838,626,1496,19
2,FDAAA TrialsTracker: A live informatics tool to monitor compliance with FDA requirements to report clinical trial results,https://www.biorxiv.org/content/10.1101/266452v4,"Nicholas J. DeVito, Seb Bacon, Ben Goldacre",doi: https://doi.org/10.1101/266452 ,"Introduction Non-publication of clinical trials results is an ongoing issue. In 2016 the US government updated the results reporting requirements to ClinicalTrials.gov for trials covered under the FDA Amendments Act 2007. We set out to develop and deliver an online tool which publicly monitors compliance with these reporting requirements, facilitates open public audit, and promotes accountability.Methods We conducted a review of the relevant legislation to extract the requirements on reporting results. Specific areas of the statutes were operationalized in code based on the results of our policy review, publicly available data from ClinicalTrials.gov, and communications with ClinicalTrials.gov staff. We developed methods to identify trials required to report results, using publicly available registry data; to incorporate additional relevant information such as key dates and trial sponsors; and to determine when each trial became due. This data was then used to construct a live tracking website.Results There were a number of administrative and technical hurdles to successful operationalization of our tracker. Decisions and assumptions related to overcoming these issues are detailed along with clarifications directly from ClinicalTrials.gov. The FDAAA TrialsTracker was successfully launched in February 2018 and provides users with an overview of results reporting compliance.Discussion Clinical trials continue to go unreported despite numerous guidelines, commitments, and legal frameworks intended to address this issue. In the absence of formal sanctions from the FDA and others, we argue tools such as ours - providing live data on trial reporting - can improve accountability and performance. In addition, our service helps sponsors identify their own individual trials that have not yet reported results: we therefore offer positive practical support for sponsors who wish to ensure that all their completed trials have reported.",19465,1294,4753,29
3,Effects of daily L-dopa administration on learning and brain structure in older adults undergoing cognitive training: a randomised clinical trial,https://www.biorxiv.org/content/10.1101/482679v3,"Alexander V. Lebedev, Jonna Nilsson, Joanna Lindström, William Fredborg, Ulrika Akenine, Carolina Hillilä, Pia Andersen, Gabriela Spulber, Elizabeth CM de Lange, Dirk-Jan van den Berg, Miia Kivipelto, Martin Lövdén",doi: https://doi.org/10.1101/482679 ,"Cognitive aging creates major individual and societal burden, motivating search for treatment and preventive care strategies. Behavioural interventions can improve cognitive performance in older age, but effects are small. Basic research has implicated dopaminergic signaling in plasticity. We investigated whether transient enhancement of dopaminergic neurotransmission via administration of L-dopa improves effects of cognitive training on performance.Sixty-three participants for this randomised, parallel-group, double-blind, placebo-controlled trial were recruited via newspaper advertisements. Inclusion criteria were: age of 65-75 years, Mini-Mental State Examination score &gt;25, absence of serious medical conditions. Eligible subjects were randomly allocated to either receive 100/25mg L-dopa/benserazide (n=32) or placebo (n=31) prior to each of twenty cognitive training sessions administered during a four-week period. Participants and staff were blinded to group assignment. Primary outcomes were latent variables of spatial and verbal fluid intelligence.Compared to the placebo group, subjects receiving L-dopa improved less in spatial intelligence (−0.267 SDs; 95%CI [−0.498, −0.036]; p=0.024). Change in verbal intelligence did not significantly differ between the groups (−0.081 SDs, 95%CI [−0.242, 0.080]; p=0.323). Subjects receiving L-dopa also progressed slower through the training and the groups displayed differential volumetric changes in the midbrain. Adverse events occurred for 10 (31%) and 7 (23%) participants in the active and control groups, correspondingly. No statistically significant differences were found for the secondary cognitive outcomes.The results speak against early pharmacological interventions in older healthy adults to improve broader cognitive functions by targeting the dopaminergic system and provide no support for learning-enhancing properties of L-dopa supplements. The findings warrant closer investigation about the cognitive effects of early dopamine-replacement therapy in neurological disorders. This trial was preregistered at the European Clinical Trial Registry, EudraCT#2016-000891-54.Significance The results put constraints on the hypothesis of a key role of the deteriorated dopaminergic system in age-related decline of learning abilities, and speak against early pharmacological interventions in older healthy adults to improve cognitive functions by targeting the dopaminergic system. Our findings also raise concerns about usefulness of novel L-dopa-containing supplements that claim to have neuroprotective and learning-enhancing properties, and present an urgent need to carefully investigate the cognitive outcomes of early pro-dopaminergic interventions in clinical populations often receiving substantially larger doses of L-dopa.",9317,646,2141,21
4,Stanford Accelerated Intelligent Neuromodulation Therapy for Treatment-Resistant Depression (SAINT-TRD),https://www.biorxiv.org/content/10.1101/581280v3,"Eleanor J. Cole, Katy H. Stimpson, Brandon S. Bentzley, Merve Gulser, Kirsten Cherian, Claudia Tischler, Romina Nejad, Heather Pankow, Elizabeth Choi, Haley Aaron, Flint M. Espil, Jaspreet Pannu, Xiaoqian Xiao, Dalton Duvio, Hugh B. Solvason, Jessica Hawkins, Austin Guerra, Booil Jo, Kristin S. Raj, Charles Debattista, Jennifer Keller, Alan F. Schatzberg, Keith D. Sudheimer, Nolan R. Williams",doi: https://doi.org/10.1101/581280 ,"Background Current treatments for depression are limited by suboptimal efficacy, delayed response, and frequent side effects. Intermittent theta-burst stimulation (iTBS) is a non-invasive brain stimulation treatment that is FDA-approved for treatment-resistant depression (TRD). Recent methodological advancements suggest iTBS could be improved through 1) treating with multiple sessions per day at optimally-spaced intervals, 2) applying a higher overall pulse-dose of stimulation and 3) precision targeting of the left dorsolateral prefrontal cortex (L-DLPFC) to subgenual anterior cingulate cortex (sgACC) circuit. We examined the feasibility, tolerability, and preliminary efficacy of an accelerated, high-dose, resting-state functional connectivity MRI (fcMRI)-guided iTBS protocol for TRD termed ‘Stanford Accelerated Intelligent Neuromodulation Therapy (SAINT)’.Methods Twenty-one participants with TRD received open-label SAINT. FcMRI was used to individually target the region of L-DLPFC most anticorrelated with sgACC. Fifty iTBS sessions (1800 pulses per session, 50-minute inter-session interval) were delivered as 10 daily sessions over 5 consecutive days at 90% resting motor threshold (adjusted for cortical depth). Neuropsychological testing was conducted before and after SAINT.Results Nineteen of 21 participants (90.48%) met criteria for remission (≤10 on the Montgomery-Åsberg Depression Rating Scale) immediately after SAINT. Neuropsychological testing demonstrated no negative cognitive side-effects. There were no seizures or other severe adverse events.Discussion Our accelerated, high-dose, iTBS protocol with fcMRI-guided targeting (SAINT) was well tolerated and safe. Efficacy was strikingly high, especially for this treatment-resistant population. Double-blinded sham-controlled trials are required to confirm the high remission rate found in this initial study.Trial registration ClinicalTrials.gov NCT03240692",14496,5341,3609,36
5,Fecal microbiota transplantation brings about bacterial strain displacement in patients with inflammatory bowel diseases,https://www.biorxiv.org/content/10.1101/439687v2,"Manli Zou, Zhuye Jie, Bota Cui, Honggang Wang, Qiang Feng, Yuanqiang Zou, Xiuqing Zhang, Huanming Yang, Jian Wang, Faming Zhang, Huijue Jia",doi: https://doi.org/10.1101/439687 ,"Fecal microbiota transplantation (FMT), which is thought to have the potential to correct dysbiosis of gut microbiota, has recently been used to treat inflammatory bowel disease (IBD). To elucidate the extent and principles of microbiota engraftment in IBD patients after FMT treatment, we conducted an interventional prospective cohort study. The cohort included two categories of patients: (1) patients with moderate to severe Crohn’s disease (CD) (Harvey-Bradshaw Index ≥ 7, n = 11, and (2) patients with ulcerative colitis (UC) (Montreal classification, S2 and S3, n = 4). All patients were treated with a single FMT (via mid-gut, from healthy donors) and follow-up visits were performed at baseline, 3 days, one week, and one month after FMT (missing time points included). At each follow-up time point, fecal samples of the participants were collected along with their clinical metadata. For comparative analysis, 10 fecal samples from 10 healthy people were included to represent the diversity level of normal gut microbiota. Additionally, the metagenomic data of 25 fecal samples from 5 individuals with metabolic syndrome who underwent autologous FMT treatment were downloaded from a previous published paper to represent natural microbiota shifts during FMT. All fecal samples underwent shotgun metagenomic sequencing.We found that 3 days after FMT, 11 out of 15 recipients were in remission (3 out of 4 UC recipients; 8 out of 11 CD recipients). Generally, bacterial colonization was observed to be lower in CD recipients than in UC recipients at both species and strain levels. Furthermore, across species, different strains displayed disease-specific displacement advantages under two-disease status. Finally, most post-FMT species (&gt; 80%) could be properly predicted (AUC &gt; 85%) using a random forest classification model, with the gut microbiota composition and clinical parameters of pre-FMT recipients acting as the most contributive factors for prediction accuracy.",7785,848,1304,37
6,"Nicotinamide riboside augments the human skeletal muscle NAD+ metabolome and induces transcriptomic and anti-inflammatory signatures in aged subjects: a placebo-controlled, randomized trial",https://www.biorxiv.org/content/10.1101/680462v1,"Yasir S Elhassan, Katarina Kluckova, Rachel S Fletcher, Mark Schmidt, Antje Garten, Craig L Doig, David M Cartwright, Lucy Oakey, Claire V Burley, Ned Jenkinson, Martin Wilson, Samuel J E Lucas, Ildem Akerman, Alex Seabright, Yu-Chiang Lai, Daniel A Tennant, Peter Nightingale, Gareth A Wallis, Konstantinos N Manolopoulos, Charles Brenner, Andrew Philp, Gareth G Lavery",doi: https://doi.org/10.1101/680462 ,"SUMMARYNAD+ is modulated by conditions of metabolic stress and has been reported to decline with aging, but human data are sparse. Nicotinamide riboside (NR) supplementation ameliorates metabolic dysfunction in rodents. We aimed to establish whether oral NR supplementation in aged participants can increase the skeletal muscle NAD+ metabolome, and questioned if tissue NAD+ levels are depressed with aging. We supplemented 12 aged men with NR 1g per day for 21-days in a placebo-controlled, randomized, double-blind, crossover trial. Targeted metabolomics showed that NR elevated the muscle NAD+ metabolome, evident by increased nicotinic acid adenine dinucleotide and nicotinamide clearance products. Muscle RNA sequencing revealed NR-mediated downregulation of energy metabolism and mitochondria pathways. NR also depressed levels of circulating inflammatory cytokines. In an additional study, 31P magnetic resonance spectroscopy-based NAD+ measurement in muscle and brain showed no difference between young and aged individuals. Our data establish that oral NR is available to aged human muscle and identify anti-inflammatory effects of NR, while suggesting that NAD+ decline is not associated with chronological aging per se in human muscle or brain.",13142,5459,3157,61
7,Efficacy and safety of a novel vaginal medical device in recurrent bacterial vaginosis: an international multicentre clinical trial,https://www.biorxiv.org/content/10.1101/674705v1,"Filippo Murina, Ciprian Crişan, Marius Biriş, Daniela Sîrbu, Dionisio Franco Barattini, Luca Ivan Ardolino, Elena Casolati",doi: https://doi.org/10.1101/674705 ,"Several risk factors have been identified but the etiology and pathogenesis of Bacterial vaginosis (BV) are still not completely understood, and the recurrence rate of BV remains high despite adequate chemotherapy treatment.The primary objective of the study was to assess the effectiveness of a new vaginal medical device, which contains polycarbophil, 0.04 % lauryl glucoside, and glycerides (Polybactum® – Effik Italia), in reducing BV recurrence rate.This was a multicenter, open label, not comparative study performed in Italy and Romania. Female subjects over 18-years-old affected by recurrent BV were included. The latest episode was diagnosed by Amsel criteria 6-9 days before the start of the study and treated with vaginal metronidazole (gel 0.75% mg for 5 days or ovules 500 mg for 7 days). The recurrence was defined by at least 2 episodes in the previous 12 months. Polybactum® vaginal ovules, day 1-4-7, were started within the 12th and the 24th hr after the end of metronidazole therapy and repeated monthly for 3 cycles.The first 41 patients enrolled were evaluated for an interim analysis 6 months after the study started; 2 patients interrupted the trial, leaving 39 evaluable subjects. The recurrence rate was significantly reduced compared to previous published data (10.26% vs 40% p&lt;0.001). In 35 patients without recurrence, the assessment of Lactobacillus vaginal flora performed by phase contrast microscopy evidenced a significant improvement form baseline (p=0.022) The Investigator global assessment of tolerability was excellent in 38 out of 39 cases.IMPORTANCE Bacterial vaginosis (BV) is the most common vaginal disorder in women of childbearing age. In BV, Lactobacillus species, which are predominant in a healthy vaginal flora, are replaced by anaerobes, mainly Gardnerella vaginalis. BV is responsible for more than 60% of vulvovaginal infections and has been linked to serious, potentially life-threatening conditions, including: pelvic inflammatory disease, postoperative infections, acquisition and transmission of the human immunodeficiency virus, preterm birth, and several adverse pregnancy outcomes. Our research showed that 3 monthly cycles of Polybactum® ovules administered after one course of metronidazole vaginal therapy can reduce the rate of Bacterial vaginosis recurrence and improve the vaginal milieu, favouring the growth of vaginal lactobacillus species. Taken together our results confirm that Polibactum® is a safe and effective treatment to reduce BV recurrence rate after a first line therapy with metronidazole.",9415,553,1564,24
8,"Targeting the Autonomic Nervous System Balance in Patients with Chronic Low Back Pain using Transcranial Alternating Current Stimulation: A Randomized, Crossover, Double-Blind, Placebo-Controlled Pilot Study",https://www.biorxiv.org/content/10.1101/668541v1,"Julianna H. Prim, Sangtae Ahn, Maria I. Davila, Morgan L. Alexander, Karen L. McCulloch, Flavio Fröhlich",doi: https://doi.org/10.1101/668541 ,"Background Chronic low back pain (CLBP) is characterized by an alteration in pain processing by the central nervous system that may affect autonomic nervous system (ANS) balance. Heart rate variability (HRV) reflects the balance of parasympathetic and sympathetic ANS activation. In particular, respiratory sinus arrhythmia (RSA) solely reflects parasympathetic input and is reduced in CLBP patients. Yet, it remains unknown if non-invasive brain stimulation can alter ANS balance in CLBP patients.Objective To evaluate if non-invasive brain stimulation modulates the ANS, we analyzed HRV metrics collected in a previously published study of transcranial alternating current stimulation (tACS) for the modulation of CLBP through enhancing alpha oscillations. We hypothesized that tACS would increase RSA.Methods A randomized, crossover, double-blind, sham-controlled pilot study was conducted to investigate the effects of 10Hz-tACS on metrics of ANS balance calculated from electrocardiogram (ECG). ECG data were collected for 2 minutes before and after 40 minutes of 10Hz-tACS or sham stimulation.Results There were no significant changes in RSA or other frequency-domain HRV components from 10Hz-tACS. However, exploratory time-domain HRV analysis revealed a significant increase in the standard deviation of normal RR intervals (SDNN) for 10Hz-tACS relative to sham.Conclusion(s) Although tACS did not significantly increase RSA, we found in an exploratory analysis that tACS modulated an integrated HRV measure of both ANS branches. These findings support the further study of how the ANS and alpha oscillations interact and are modulated by tACS.",9180,549,1382,33
9,PARP1 as a biomarker for early detection and intraoperative tumor delineation in epithelial cancers – first-in-human results,https://www.biorxiv.org/content/10.1101/663385v1,"Susanne Kossatz, Giacomo Pirovano, Paula Demétrio De Souza França, Arianna L. Strome, Sumsum P. Sunny, Daniella Karassawa Zanoni, Audrey Mauguen, Brandon Carney, Christian Brand, Veer Shah, Ravindra D. Ramanajinappa, Naveen Hedne, Praveen Birur, Smita Sihag, Ronald A. Ghossein, Mithat Gönen, Marshall Strome, Amritha Suresh, Daniela Molena, Moni A. Kuriakose, Snehal G. Patel, Thomas Reiner",doi: https://doi.org/10.1101/663385 ,"Major determining factors for survival of patients with oral, oropharyngeal, and esophageal cancer are early detection, the quality of surgical margins, and the contemporaneous detection of residual tumor. Intuitively, the exposed location at the epithelial surface qualifies these tumor types for utilization of visual aids to assist in discriminating tumor from healthy surrounding tissue. Here, we explored the DNA repair enzyme PARP1 as imaging biomarker and conducted optical imaging in animal models, human tissues and as part of a first-in-human clinical trial. Our data suggests that PARP1 is a quantitative biomarker for oral, oropharyngeal, and esophageal cancer and can be visualized with PARPi-FL, a fluorescently labeled small molecule contrast agent for topical or intravenous delivery. We show feasibility of PARPi-FL-assisted tumor detection in esophageal cancer, oropharyngeal and oral cancer. We developed a contemporaneous PARPi-FL topical staining protocol for human biospecimens. Using fresh oral cancer tissues within 25 min of biopsy, tumor and margin samples were correctly identified with &gt;95% sensitivity and specificity without terminal processing. PARPi-FL imaging can be integrated into clinical workflows, potentially providing instantaneous assessment of the presence or absence of microscopic disease at the surgical margin. Additionally, we showed first-in-human PARPi-FL imaging in oral cancer. In aggregate, our preclinical and clinical studies have the unifying goal of verifying the clinical value of PARPi-FL-based optical imaging for early detection and intraoperative margin assignment.",10068,560,1986,60
10,Neurocognitive mechanisms of d-cycloserine augmented single-session exposure therapy for anxiety,https://www.biorxiv.org/content/10.1101/615757v2,"Andrea Reinecke, Alecia Nickless, Michael Browning, Catherine J. Harmer",doi: https://doi.org/10.1101/615757 ,"Objective Drugs targeting the N-Methyl-D-aspartic acid (NMDA) system and the ability to learn new associations have been proposed as potential adjunct treatments to boost the success of exposure therapy for anxiety disorders. However, the effects of the NMDA partial agonist d-cycloserine on psychological treatment have been mixed. We investigated potential neurocognitive mechanisms underlying the clinical effects of d-cycloserine-augmented exposure, to inform the optimal combination of this and similar agents with psychological treatment.Methods Unmedicated patients with panic disorder were randomised to single-dose d-cycloserine (250mg; N=17) or matching placebo (N=16) 2hrs before one session of exposure therapy. Neurocognitive markers were assessed one day after treatment, including reaction-time based threat bias for fearful faces and amygdala response to threat. Clinical symptom severity was measured using self-report and clinician-rated scales the day before and after treatment, and at 1- and 6-months follow-up. Analysis was by intention-to-treat.Results One day after treatment, threat bias for fearful faces and amygdala threat response were attenuated in the drug compared to the placebo group. Lower amygdala magnitude predicted greater clinical improvement during follow-up across groups. D-cycloserine led to greater clinical recovery at 1-month follow-up (d-cycloserine 71% versus placebo 25%).Discussion D-cycloserine-augmented single-session exposure therapy reduces amygdala threat response, and this effect predicts later clinical response. These findings highlight a neurocognitive mechanism by which d-cycloserine may exert its augmentative effects on psychological treatment and bring forward a marker that may help understand and facilitate future development of adjunct treatments with CBT for anxiety disorders. (D-cycloserine Augmented CBT for Panic Disorder; clinicaltrials.gov; NCT01680107)",5209,770,1239,22
11,Metronomic capecitabine as an immune modulator in glioblastoma patients reduces myeloid-derived suppressor cells,https://www.biorxiv.org/content/10.1101/655688v2,"David M. Peereboom, Tyler J. Alban, Matthew M. Grabowski, Alvaro G. Alvarado, Balint Otvos, Defne Bayik, Gustavo Roversi, Mary McGraw, Pengjing Huang, Alireza M. Mohammadi, Harley I. Kornblum, Manmeet S. Ahluwalia, Michael A. Vogelbaum, Justin D. Lathia",doi: https://doi.org/10.1101/655688 ,"Background Myeloid-derived suppressor cells (MDSCs) are elevated in glioblastoma (GBM) patient circulation, present in tumor tissue, and associated with poor prognosis. While low-dose chemotherapy reduces MDSCs in preclinical models, the use of this strategy to reduce MDSCs in GBM patients has yet to be evaluated.Methods A phase 0/1 dose-escalation clinical trial was conducted in recurrent glioblastoma patients treated 5-7 days prior to surgery with low-dose chemotherapy via capecitabine followed by concomitant low-dose capecitabine and bevacizumab. Clinical outcomes, including progression-free and overall survival, were measured, along with safety and toxicity profiles. Over the treatment time course, circulating MDSC levels were measured by multi-parameter flow cytometry, and tumor tissue immune profiles were assessed via mass cytometry time-of-flight.Results A total of 11 patients were enrolled across escalating dose cohorts of 150, 300, and 450 mg bid, with a progression-free survival of 5.8 months (range of 1.8-27.8 months) and an overall survival of 11.5 months (range of 3-&gt;28.0 months) from trial enrollment. No serious adverse events related to the drug combination were observed. Compared to pre-treatment baseline, circulating MDSCs were found to be higher after surgery in the 150 mg treatment arm and lower in the 300 mg and 450 mg treatment arms. Increased cytotoxic immune infiltration was observed after low-dose capecitabine compared to untreated GBM patients in the 300 mg and 450 mg treatment arms.Conclusions Low-dose, metronomic capecitabine in combination with bevacizumab is well tolerated in GBM patients and was associated with a reduction in circulating MDSC levels and an increase in cytotoxic immune infiltration into the tumor microenvironment.Trial registration NCT02669173Funding This research was funded by the Cleveland Clinic, Case Comprehensive Cancer Center, Musella Foundation, and B*CURED. Capecitabine was provided in kind by Mylan Pharmaceuticals.",5155,225,1306,34
12,Restored tactile sensation improves neuroprosthetic arm control,https://www.biorxiv.org/content/10.1101/653428v1,"Sharlene N Flesher, John E Downey, Jeffrey M Weiss, Christopher L Hughes, Angelica J Herrera, Elizabeth C Tyler-Kabara, Michael L Boninger, Jennifer L Collinger, Robert A Gaunt",doi: https://doi.org/10.1101/653428 ,"Summary paragraphThe sense of touch is critical for skillful hand control1–3, but is largely missing for people who use prosthetic devices. Instead, prosthesis users rely heavily on visual feedback, even though state transitions that are necessary to skillfully interact with objects, such as object contact, are relayed more precisely through tactile feedback4–6. Here we show that restoring tactile sensory feedback, through intracortical microstimulation of the somatosensory cortex7, enables a person with a bidirectional intracortical brain-computer interface to improve their performance on functional object transport tasks completed with a neurally-controlled prosthetic limb. The participant had full visual feedback and had practiced the task for approximately two years prior to these experiments. Nevertheless, successful trial times on a commonly used clinical upper limb assessment task were reduced from a median time of 20.9 s (13.1 - 40.5 s interquartile range) to 10.2 s (5.4 - 18.1 s interquartile range) when vision was supplemented with microstimulation-evoked cutaneous percepts that were referred to different fingers and were graded in intensity based on real-time prosthesis contact forces. Faster completion times were primarily due to a reduction in the amount of time spent attempting to grasp objects. These results demonstrate the importance of tactile sensations in upper-limb control and the utility of creating bidirectional brain-computer interfaces to restore this stream of information using intracortical microstimulation.",6289,507,2381,26
