,标题,标题_链接,作者,时间,highwirecitemetadatadoi,abstact,Abstract_num,Full_num,Pdf_num,page
0,Active inference through whiskers,https://www.biorxiv.org/content/10.1101/2021.07.16.452665v2,"Francesco Mannella, Federico Maggiore, Manuel Baltieri, Giovanni Pezzulo",2021.07.16.452665;,doi: https://doi.org/10.1101/2021.07.16.452665,"Rodents use whisking to probe actively their environment and to locate objects in space, hence providing a paradigmatic biological example of active sensing. Numerous studies show that the control of whisking has anticipatory aspects. For example, rodents target their whisker protraction to the distance at which they expect objects, rather than just reacting fast to contacts with unexpected objects. Here we characterize the anticipatory control of whisking in rodents as an active inference process. In this perspective, the rodent is endowed with a prior belief that it will touch something at the end of the whisker protraction, and it continuously modulates its whisking amplitude to minimize (proprioceptive and somatosensory) prediction errors arising from an unexpected whisker-object contact, or from a lack of an expected contact. We will use the model to qualitatively reproduce key empirical findings about the ways rodents modulate their whisker amplitude during exploration and the scanning of (expected or unexpected) objects. Furthermore, we will discuss how the components of active inference model can in principle map to the neurobiological circuits of rodent whisking.",942,42,111,15.0
1,Advanced Age Has Dissociable Effects on Hippocampal CA1 and CA3 Ripples,https://www.biorxiv.org/content/10.1101/2021.08.27.457373v1,"Nicholas M. DiCola, Alexa L. Lacy, Omar J. Bishr, Kathryn M. Kimsey, Jenna L. Whitney, Sarah D. Lovett, Sara N. Burke, Andrew P. Maurer",2021.08.27.457373;,doi: https://doi.org/10.1101/2021.08.27.457373,"Sharp-wave/ripples are brief, high-frequency events in hippocampal subregions CA3 and CA1 that occur during rest or pauses in behavior. Ripples detected in CA1 have lower frequency in aged compared to young rats. Although CA1 ripples are theorized to manifest from CA3, ripple dynamics in CA3 have not been examined in aged animals. The current study obtained simultaneous recordings between CA1 and CA3 in young and aged rats to examine sharp-wave/ripple characteristics in both regions in relation to age. While CA1 ripple frequency was reduced with age, there were no age differences in CA3 ripples. In aged, but not young, rats there was also a significant increase in the probability of CA3 and CA1 ripples co-occurring between the pre- and post-behavior rest epochs. Moreover, in both age groups, CA1 ripples that co-occurred with a CA3 ripple had increased frequency, power, and duration. These findings suggest age differences in CA1 are not due to altered afferent input from CA3, but instead reflect distinct mechanisms of ripple generation with age.HIGHLIGHTSCA1 ripple frequency is reduced with age.CA3 ripple characteristics do not change with age.In aged rats only, CA3-CA1 ripple co-occurrence increased following behavior.CA1 ripples that co-occurred with CA3 had greater frequency, power, and duration.",65,2,4,37.0
2,Stress Evaluation of Various Breeding Environments in Mouse,https://www.biorxiv.org/content/10.1101/2021.08.27.457934v1,"Gwang-Hoon Lee, Hye-Yoon Choi, Woori Jo, Kil-Soo Kim",2021.08.27.457934;,doi: https://doi.org/10.1101/2021.08.27.457934,"Laboratory animals are raised in a fixed space during the study period and are environmentally bound. Laboratory animal may be under stress on the constrained environment, which changes physiological indicators, affecting the reproducibility and accuracy of animal study. Therefore, reducing animal stress by providing proper breeding environment and environmental enrichment can be the basis for animal study. In this study, the stress level was assessed according to the mouse breeding environment. According to the results of the experiment, it was determined that the individual ventilation cage had less cortisol concentration in serum and body weight increased in the individual ventilation cage than individual isolated cage, when providing environmental enrichment rather than group breeding or not providing environmental enrichment. The results will provide appropriate guidelines for laboratory animal welfare.",53,4,3,13.0
3,Discriminating predation attempt outcomes during natural foraging using the post-buzz pause in Japanese large-footed bat Myotis macrodactylus,https://www.biorxiv.org/content/10.1101/2021.08.27.457998v1,"Yuuka Mizuguchi, Emyo Fujioka, Olga Heim, Dai Fukui, Shizuko Hiryu",2021.08.27.457998;,doi: https://doi.org/10.1101/2021.08.27.457998,"Bats emit a series of echolocation calls with an increasing repetition rate (the terminal buzz), when attempting to capture prey. This is often used as an acoustic indicator of prey-capture attempts. However, because it is directly linked to foraging efficiency, predation success is a more useful measure than predation attempts in ecological research. The characteristics of echolocation calls that consistently signify predation success across different situations have not been identified. Due to additional influencing factors, identification of these characteristics is particularly challenging for wild bats foraging in their natural environment compared to those in flight chambers. This study documented the natural foraging behavior of wild Japanese large-footed bat Myotis macrodactylus using synchronized acoustic and video recordings. From the video recordings, we could assign 137 attacks to three outcome categories: prey captured (51.8%), prey dropped (29.2%), and failed attempt (19%). Based on previous indications from laboratory studies that the length of the silent interval following the terminal buzz (post-buzz pause) might reflect the prey capture outcome, we compared post-buzz pause durations among categories of attack outcomes. The post-buzz pause was longest in the case of successful capture, suggesting that the length of the post-buzz pause is a useful acoustic indicator of predation success during natural foraging in M. macrodactylus. Our finding will advance the study of bat foraging behavior using acoustic data, including estimations of foraging efficiency and analyses of feeding habitat quality.Summary statement We investigated the natural foraging behavior of wild Myotis macrodactylus and found that the length of the post-buzz pause is a useful acoustic indicator of predation success.",58,4,4,24.0
4,Oral Glucosamine Ameliorates Aggravated Neurological Phenotype in Mucopolysaccharidosis III Type C Mouse Model Expressing Misfolded HGSNAT Variant,https://www.biorxiv.org/content/10.1101/2021.08.26.457793v1,"Xuefang Pan, Mahsa Taherzadeh, Poulomee Bose, Rachel Heon-Roberts, Annie L. A. Nguyen, TianMeng Xu, Camila Pará, Yojiro Yamanaka, David A. Priestman, Frances M. Platt, Shaukat Khan, Nidhi Fnu, Shunji Tomatsu, Carlos R. Morales, Alexey V. Pshezhetsky",2021.08.26.457793;,doi: https://doi.org/10.1101/2021.08.26.457793,"Objective Over 55% of mucopolysaccharidosis IIIC (MPS IIIC) patients have at least one allelic missense variant responsible for misfolding of heparan sulfate acetyl-CoA:α-glucosaminide N- acetyltransferase (HGSNAT). These variants are potentially treatable with pharmacological chaperones, such as a competitive HGSNAT inhibitor, glucosamine. Since the constitutive HGSNAT knockout mice, we generated previously cannot be used to test such strategy in vivo, we generated a novel model, the HgsnatP304L strain, expressing misfolded mutant HGSNAT with human missense mutation Pro311Leu (Pro304Leu in the mouse enzyme).Results HgsnatP304L mice present deficits in short-term (novel object recognition test) and working/spatial (Y-maze test) memory at 4 months of age, 2-4 months earlier than previously described gene-targeted Hgsnat-Geo mice, which lack HGSNAT protein. HgsnatP304L mice also show increased severity of synaptic deficits in CA1 neurons, and accelerated course of CNS pathology including neuronal storage of heparan sulfate, accumulation of misfolded proteins, increase of simple gangliosides, and neuroinflammation as compared with Hgsnat-Geo mice. Expression of misfolded human Pro311Leu HGSNAT protein in cultured hippocampal Hgsnat- Geo neurons aggravated reduction of synaptic proteins. Memory deficits and majority of pathological changes in the brain were rescued in mice receiving daily doses of oral glucosamine.Interpretation Altogether, our data for the first time demonstrate dominant-negative effects of the misfolded HGSNAT Pro304Leu variant and show that these effects are treatable by oral administration of glucosamine, suggesting that patients, affected with missense mutations preventing normal folding of the enzyme, could benefit from chaperone therapy.",51,4,18,66.0
5,Predicting and measuring decision rules for social recognition in a Neotropical frog,https://www.biorxiv.org/content/10.1101/2021.08.26.457721v1,"James P. Tumulty, Chloe A. Fouilloux, Johana Goyes Vallejos, Mark A. Bee",2021.08.26.457721;,doi: https://doi.org/10.1101/2021.08.26.457721,"Many animals use signals, such as vocalizations, to recognize familiar individuals. However, animals risk making recognition mistakes because the signal properties of different individuals often overlap due to within-individual variation in signal production. To understand the relationship between signal variation and decision rules for social recognition, we studied male golden rocket frogs, which recognize the calls of territory neighbors and respond less aggressively to a neighbor’s calls than to the calls of strangers. We quantified patterns of individual variation in acoustic properties of calls and predicted optimal discrimination thresholds using a signal detection theory model of receiver utility that incorporated signal variation, the payoffs of correct and incorrect decisions, and the rates of encounters with neighbors and strangers. We then experimentally determined thresholds for discriminating between neighbors and strangers using a habituation-discrimination experiment with territorial males in the field. Males required a threshold difference between 9% and 12% to discriminate between calls differing in temporal properties; this threshold matched those predicted by a signal detection theory model under ecologically realistic assumptions of infrequent encounters with strangers and relatively costly missed detections of strangers. We demonstrate empirically that receivers group continuous variation in vocalizations into discrete social categories and show that signal detection theory can be applied to investigate evolved decision rules.",48,2,2,38.0
6,Image classification and cognition using contour curvature statistics,https://www.biorxiv.org/content/10.1101/2021.08.25.457634v1,"Andrew Marantan, Irina Tolkova, L. Mahadevan",2021.08.25.457634;,doi: https://doi.org/10.1101/2021.08.25.457634,"Although the higher order mechanisms behind object representation and classification in the visual system are still not well understood, there are hints that simple shape primitives such as “curviness” might activate neural activation and guide this process. Drawing on elementary invariance principles, we propose that a statistical geometric object, the probability distribution of the normalized contour curvatures (NCC) in the intensity field of a planar image, has the potential to represent and classify categories of objects. We show that NCC is sufficient for discriminating between cognitive categories such as animacy, size and type, and demonstrate the robustness of this metric to variation in illumination and viewpoint, consistent with neurobiological constraints and psychological experiments. A generative model for producing artificial images with the observed NCC distributions highlights the key features that our metric captures and just as importantly, those that it does not. More broadly, our study points to the need for statistical geometric approaches to cognition that build in both the statistics and the natural invariances of the sensory world.",48,2,4,11.0
7,Plucking a string or playing a G? Degree of choice abstraction impacts human reinforcement learning,https://www.biorxiv.org/content/10.1101/2021.08.25.457707v1,"Milena Rmus, Amy Zou, Anne G.E. Collins",2021.08.25.457707;,doi: https://doi.org/10.1101/2021.08.25.457707,"In reinforcement learning (RL) experiments, participants learn to make rewarding choices in response to different stimuli; RL models use outcomes to estimate stimulus-response values which change incrementally. RL models consider any response type indiscriminately, ranging from less  choices (e.g. pressing a key with the index finger), to more  choices that can be executed in a number of ways (e.g. getting dinner at the restaurant). But does the learning process vary as a function of how  the choices are? In Experiment 1, we show that choice ion impacts learning: participants were slower and less accurate in learning to select a more  choice. Using computational modeling, we show that two mechanisms contribute to this. First, the values of motor actions interfered with the values of more  responses, resulting in more incorrect choices; second, information integration for relevant  choices was slower. In Experiment 2, we replicate the findings from Experiment 1, and further extend the results by investigating whether slowed learning is attributable to working memory (WM) or RL contributions. We find that the impairment in more /flexible choices is driven primarily by a weaker contribution of WM. We conclude that defining a more  choice space used by multiple learning systems recruits limited executive resources, limiting how much such processes then contribute to fast learning.",54,2,4,39.0
8,Using Conspecific Playbacks to Investigate Contact Calling in Southeast Alaskan Humpback Whales,https://www.biorxiv.org/content/10.1101/2021.08.25.457675v1,"Michelle E.H. Fournet, Leanna P. Matthews, Annie Bartlett, Natalie Mastick, Fred Sharpe, Laurance Doyle, Brenda McCowan, James P. Crutchfield, David K. Mellinger",2021.08.25.457675;,doi: https://doi.org/10.1101/2021.08.25.457675,"Humpback whales (Megaptera novaeangliae) produce calls across age and sex class and throughout their migratory range. Despite growing interest in calling behavior, the function of most calls is unknown. Among identified call types, the ‘whup’ is ubiquitous, and innate, and may serve as a contact call. We conducted an acoustic playback experiment combined with passive acoustic monitoring and visual observations to test the function of the whup on a Southeast Alaskan foraging ground. Using a before-during-after design, we broadcasted either a control sound or a unique whup call sequence. We investigated the change in whup rates (whups/whale/10 minutes) in response to treatment (whup or control) and period (before, during, or after). In 100% of the conspecific trials, whup rates increased during broadcasts, and whup rates were significantly higher than in before or after periods. There was no significant difference in whup rates between before and after periods during conspecific trials. In control trials, there were no significant differences in whup rates between before, during, or after periods. Neither whups nor control playbacks elicited an approach response. Humpback whale vocal responses to whup playbacks suggest that whups function as a contact call, but not necessarily as an aggregation signal.",42,2,2,10.0
9,Permutation tests for hypothesis testing with animal social network data: problems and potential solutions,https://www.biorxiv.org/content/10.1101/2020.08.02.232710v3,"Damien R. Farine, Gerald G. Carter",2020.08.02.232710;,doi: https://doi.org/10.1101/2020.08.02.232710,"Permutation tests are widely used to test null hypotheses with animal social network data, but suffer from high rates of type I and II error when the permutations do not properly simulate the intended null hypothesis.Two common types of permutations each have limitations. Pre-network (or datastream) permutations can be used to control “nuisance effects” like spatial, temporal, or sampling biases, but only when the null hypothesis assumes random social structure. Node (or node-label) permutation tests can test null hypotheses that include nonrandom social structure, but only when nuisance effects do not shape the observed network.We demonstrate one possible solution addressing these limitations: using pre-network permutations to adjust the values for each node or edge before conducting a node permutation test. We conduct a range of simulations to estimate error rates caused by confounding effects of social or non-social structure in the raw data.Regressions on simulated datasets suggest that this “double permutation” approach is less likely to produce elevated error rates relative to using only node permutations, pre-network permutations, or node permutations with simple covariates, which all exhibit elevated type I errors under at least one set of simulated conditions. For example, in scenarios where type I error rates from pre-network permutation tests exceed 30%, the error rates from double permutation remain at 5%.The double permutation procedure provides one potential solution to issues arising from elevated type I and type II error rates when testing null hypotheses with social network data. We also discuss alternative approaches that can provide robust inference, including fitting mixed effects models, restricted node permutations, testing multiple null hypotheses, and splitting large datasets to generate replicated networks. Finally, we highlight ways that uncertainty can be explicitly considered and carried through the analysis.",2238,573,895,33.0
